Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
xerces;1.2.0;org.apache.xerces.utils.regex.Token;49;1;9;16;87;866;15;11;2;0.9951389;2172;0.36666667;20;0.0;0.1875;0;0;42.10204;3;1;1503;0;0;-;0
xerces;1.2.0;org.apache.xerces.validators.common.XMLValidator$AttValidatorENUMERATION;3;1;0;4;12;0;1;4;1;0.0;112;1.0;1;0.0;0.5833333;0;0;36.0;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.xerces.dom.DeepNodeListImpl;5;1;1;4;21;0;3;2;4;0.25;264;1.0;1;0.0;0.44;0;0;50.6;3;2;92;1;0;-;0
xerces;1.2.0;org.apache.xerces.dom.NodeImpl$LEntry;1;1;0;1;2;0;1;1;0;2.0;20;0.25;2;0.0;1.0;0;0;15.0;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.xerces.readers.XMLDeclRecognizer;5;1;3;12;15;8;7;9;3;0.75;191;1.0;0;0.0;0.33333334;0;0;36.6;0;0;-;1;0;-;0
xerces;1.2.0;org.apache.xerces.framework.XMLDocumentScanner$EndOfInputDispatcher;3;1;0;7;11;0;4;3;2;0.0;48;1.0;1;0.0;0.5833333;0;0;14.666667;-;0;-;-;0;-;0
xerces;1.2.0;org.w3c.dom.html.HTMLOptGroupElement;4;1;0;0;4;6;0;0;4;2.0;4;0.0;0;0.0;0.5;0;0;0.0;2;2;68;0;0;-;0
xerces;1.2.0;org.apache.xml.serialize.SerializerFactoryImpl;6;2;0;7;20;9;1;7;3;0.0;136;1.0;0;0.54545456;0.43333334;1;2;21.5;4;2;251;0;0;-;0
xerces;1.2.0;org.apache.xerces.framework.XMLDocumentHandler$DTDHandler;14;1;0;8;14;91;6;2;14;2.0;14;0.0;0;0.0;0.39285713;0;0;0.0;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.xerces.validators.datatype.DatatypeMessageProvider;5;1;0;10;14;0;9;1;4;1.1666666;201;0.083333336;0;0.0;0.5;0;0;34.4;4;2;26;1;0;-;0
xerces;1.2.0;org.apache.html.dom.HTMLOListElementImpl;7;4;0;2;14;21;0;2;7;2.0;42;0.0;0;0.94;0.34285715;0;0;5.0;2;2;123;0;0;-;0
xerces;1.2.0;org.apache.xerces.validators.dtd.DTDGrammar;41;2;0;13;77;280;2;11;35;0.90394735;1231;1.0;10;0.4871795;0.3066202;1;7;28.560976;6;3;1367;0;0;-;0
xerces;1.2.0;org.apache.xerces.readers.UTF8Recognizer$XMLDeclReader;21;2;0;9;29;180;1;9;20;0.9;312;1.0;3;0.25925925;0.18315019;1;1;13.714286;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.wml.WMLUElement;2;1;0;2;2;1;1;1;2;2.0;2;0.0;0;0.0;0.75;0;0;0.0;1;1;80;0;0;-;0
xerces;1.2.0;org.apache.xerces.dom.EntityImpl;10;4;1;5;15;37;4;2;10;0.93333334;93;0.8;0;0.89772725;0.4;2;6;7.8;9;2;105;1;0;-;0
xerces;1.2.0;org.apache.xerces.dom.CharacterDataImpl$1;3;1;0;1;4;3;1;0;2;2.0;10;0.0;0;0.0;0.6666667;0;0;2.3333333;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.html.dom.HTMLFontElementImpl;7;4;0;2;11;21;0;2;7;2.0;43;0.0;0;0.94;0.5714286;0;0;5.142857;2;2;118;0;0;-;0
xerces;1.2.0;org.apache.wml.dom.WMLGoElementImpl;13;4;0;3;16;78;0;3;13;2.0;72;0.0;0;0.87234044;0.53846157;1;4;4.5384617;1;1;120;0;0;-;0
xerces;1.2.0;org.w3c.dom.html.HTMLModElement;4;1;0;0;4;6;0;0;4;2.0;4;0.0;0;0.0;0.75;0;0;0.0;2;2;68;0;0;-;0
xerces;1.2.0;org.apache.xerces.utils.StringHasher;5;1;0;6;7;10;6;0;5;2.0;107;0.0;0;0.0;0.35;0;0;20.4;0;0;-;1;0;-;0
xerces;1.2.0;org.apache.xerces.utils.regex.Match;12;1;0;3;22;0;3;1;6;0.530303;332;0.0;0;0.0;0.35;0;0;26.166666;2;1;231;0;0;-;0
xerces;1.2.0;org.apache.xerces.dom.DOMExceptionImpl;1;6;0;17;2;0;16;1;1;2.0;6;0.0;0;1.0;1.0;0;0;5.0;0;0;-;1;0;-;1
xerces;1.2.0;org.apache.xerces.utils.regex.RegexParser;50;1;1;15;105;711;2;13;3;0.8508634;3171;0.07692308;0;0.0;0.19428572;0;0;61.64;3;1;1371;0;0;-;0
xerces;1.2.0;org.w3c.dom.html.HTMLFormElement;16;1;0;0;16;120;0;0;16;2.0;16;0.0;0;0.0;0.6875;0;0;0.0;2;2;203;0;0;-;0
xerces;1.2.0;org.apache.xerces.readers.XCatalog;8;2;0;2;32;10;1;2;7;1.0408163;223;0.21428572;0;0.5882353;0.46875;1;1;25.125;1;1;10;1;1;-;0
xerces;1.2.0;org.apache.xerces.validators.common.ContentLeafNameTypeVector;4;1;0;6;6;0;5;1;4;0.0;73;0.0;1;0.0;0.55;0;0;16.5;1;1;105;0;0;-;0
xerces;1.2.0;org.w3c.dom.html.HTMLMapElement;3;1;0;0;3;3;0;0;3;2.0;3;0.0;0;0.0;0.6666667;0;0;0.0;2;2;61;0;0;-;0
xerces;1.2.0;org.apache.xerces.framework.XMLParser;49;1;2;22;121;622;2;20;22;0.9157197;1192;1.0;11;0.0;0.11388889;0;0;22.87755;21;6;2417;1;11;-;0
xerces;1.2.0;org.apache.xerces.readers.XMLEntityHandler$CharDataHandler;4;1;0;9;4;6;9;0;4;2.0;4;0.0;0;0.0;0.8333333;0;0;0.0;-;0;-;-;0;-;0
xerces;1.2.0;org.apache.wml.WMLGoElement;8;1;0;2;8;28;1;1;8;2.0;8;0.0;0;0.0;0.75;0;0;0.0;1;1;87;0;0;-;0
xerces;1.2.0;org.apache.xerces.msg.DatatypeMessages;3;3;0;0;4;1;0;0;2;0.5;247;0.0;0;0.974359;1.0;0;0;81.0;2;2;6;1;0;-;0
xerces;1.2.0;org.apache.xerces.utils.SymbolCache;6;1;0;2;11;0;2;0;6;0.84444445;608;0.0;0;0.0;0.45833334;0;0;98.833336;2;1;8;1;0;-;0
xerces;1.2.0;org.xml.sax.helpers.ParserAdapter$AttributeListAdapter;14;1;0;0;25;33;0;0;12;0.6923077;91;1.0;2;0.0;0.3857143;0;0;5.357143;-;0;-;-;0;-;0
xerces;1.2.0;org.xml.sax.Locator;4;1;0;0;4;6;0;0;4;2.0;4;0.0;0;0.0;1.0;0;0;0.0;3;3;220;1;2;-;0
