Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
xalan;2.4.0;org.apache.xalan.lib.sql.DTMDocument$CharacterNodeHandler;1;1;0;1;1;0;1;0;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.templates.ElemCallTemplate;13;4;1;16;49;40;1;15;13;0.6388889;352;0.6666667;3;0.94690263;0.18803419;4;11;25.846153;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.xsltc.dom.DOMImpl$TypedAncestorIterator;3;3;0;4;7;0;1;4;3;0.0;74;1.0;1;0.9;0.5555556;2;3;23.0;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.extensions.ExpressionContext;6;1;0;18;6;15;16;3;6;2.0;6;0.0;0;0.0;0.5;0;0;0.0;-;-;-;-;-;-;1
xalan;2.4.0;org.apache.xalan.xsltc.compiler.util.MultiHashtable;3;3;0;2;11;3;2;0;3;2.0;61;0.0;0;0.95;0.8333333;1;2;19.333334;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xpath.functions.FuncFalse;3;3;0;4;4;3;0;4;3;2.0;9;0.0;0;0.95;0.5;1;6;2.0;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xpath.patterns.StepPattern;31;3;2;23;77;241;11;14;26;0.73333335;1095;0.4;2;0.6419753;0.18010753;2;9;34.16129;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.xsltc.compiler.util.NodeSortRecordFactGenerator;2;4;0;3;3;1;1;2;2;2.0;13;0.0;0;0.9878049;0.6;0;0;5.5;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.xsltc.runtime.output.SAXOutput;8;2;3;7;16;18;3;4;6;0.8;114;1.0;0;0.8378378;0.5;1;1;12.625;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.processor.XSLTSchema;6;2;0;27;47;3;5;25;2;0.7875;2654;0.03125;0;0.8484849;0.44444445;1;2;436.0;-;-;-;-;-;-;2
xalan;2.4.0;org.apache.xml.utils.Trie;3;1;0;2;8;0;2;1;3;0.75;100;0.0;1;0.0;0.6666667;0;0;31.666666;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.xsltc.dom.DOMImpl$NamespaceAttributeIterator;5;2;0;3;12;0;1;3;5;0.41666666;116;1.0;1;0.71428573;0.53333336;1;4;21.6;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.extensions.ExtensionHandlerExsltFunction;8;2;0;14;27;20;0;14;6;0.5714286;189;1.0;2;0.5;0.34920636;1;1;22.25;-;-;-;-;-;-;1
xalan;2.4.0;org.apache.xalan.xsltc.compiler.util.RealType;27;3;0;45;56;351;14;36;26;2.0;504;0.0;0;0.57377046;0.2020202;1;3;17.666666;-;-;-;-;-;-;0
xalan;2.4.0;org.apache.xalan.xpath.xdom.XercesLiaison;15;5;0;8;43;83;0;8;13;0.8214286;210;1.0;0;0.7291667;0.16;2;6;12.866667;-;-;-;-;-;-;0
