Project,Version,Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
xalan;2.7.0;org.apache.xalan.xsltc.compiler.ContainsCall;5;4;0;18;22;4;0;18;5;0.25;126;1.0;2;0.96;0.4;3;14;23.8;0;0;-;1;0;-;1
xalan;2.7.0;org.apache.xalan.xsltc.trax.TemplatesImpl$1;2;1;0;3;5;1;1;3;1;1.0;14;1.0;1;0.0;0.75;0;0;5.5;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xpath.res.XPATHErrorResources_it;4;3;0;1;15;6;0;1;3;1.3333334;2120;0.0;0;0.9268293;0.33333334;0;0;495.5;2;2;0;1;2;-;2
xalan;2.7.0;org.apache.xpath.axes.FilterExprIterator;14;6;0;11;32;0;1;11;11;0.8;164;0.8;2;0.9142857;0.23469388;4;8;10.357142;2;2;1;1;1;-;1
xalan;2.7.0;org.apache.xalan.lib.SecuritySupport12$5;2;1;0;1;4;0;1;1;1;0.5;19;1.0;1;0.0;0.6666667;0;0;7.5;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xml.serializer.utils.SerializerMessages_ko;2;3;0;0;3;1;0;0;2;2.0;374;0.0;0;0.974359;1.0;0;0;186.0;2;1;118;0;0;-;3
xalan;2.7.0;org.apache.xml.dtm.ref.DTMDefaultBaseIterators$DescendantIterator;5;3;2;5;13;0;3;3;4;0.0;145;1.0;1;0.7894737;0.53333336;2;6;27.8;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.xsltc.dom.ObjectFactory;13;1;0;5;49;64;3;2;0;0.9166667;699;0.8333333;0;0.0;0.3125;0;0;52.307693;3;2;66;1;0;-;1
xalan;2.7.0;org.apache.xml.utils.res.StringArrayWrapper;3;1;0;13;4;0;13;0;3;0.0;19;1.0;0;0.0;0.5555556;0;0;5.0;1;1;40;0;0;-;1
xalan;2.7.0;org.apache.xalan.extensions.ExtensionHandlerExsltFunction;9;2;0;16;32;28;0;16;7;0.625;228;1.0;2;0.46153846;0.325;1;1;24.0;1;1;0;1;1;-;2
xalan;2.7.0;org.apache.xml.dtm.ref.DTMDefaultBaseIterators$ParentIterator;4;3;0;3;11;0;1;3;4;0.33333334;83;1.0;1;0.8333333;0.5833333;2;4;19.25;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.xsltc.dom.NodeSortRecord;11;1;0;9;29;7;2;7;8;0.8066667;324;0.73333335;3;0.0;0.35;0;0;27.09091;0;0;-;1;0;-;1
xalan;2.7.0;org.apache.xpath.patterns.FunctionPattern$FunctionOwner;3;1;0;4;5;0;1;4;2;0.0;23;1.0;1;0.0;0.5555556;0;0;6.3333335;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xml.utils.res.XResources_sv;2;4;0;2;4;1;0;2;2;2.0;315;0.0;0;0.97619045;1.0;0;0;156.5;1;1;0;1;1;-;1
xalan;2.7.0;org.apache.xalan.xsltc.runtime.SecuritySupport12$8;2;1;0;1;5;0;1;1;1;0.5;20;1.0;1;0.0;0.6666667;0;0;8.0;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xml.dtm.ref.DTMDefaultBaseIterators$InternalAxisIteratorBase;3;2;31;33;4;1;31;2;3;0.75;21;1.0;1;0.8666667;0.6666667;1;2;5.3333335;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.lib.ObjectFactory;13;1;0;3;49;64;1;2;0;0.9166667;699;0.8333333;0;0.0;0.3125;0;0;52.307693;3;2;66;1;0;-;1
xalan;2.7.0;org.apache.xml.utils.res.XResources_es;2;4;0;2;4;1;0;2;2;2.0;315;0.0;0;0.97619045;1.0;0;0;156.5;1;1;0;1;1;-;1
xalan;2.7.0;org.apache.xml.serializer.utils.SerializerMessages_de;2;3;0;0;3;1;0;0;2;2.0;374;0.0;0;0.974359;1.0;0;0;186.0;2;1;118;0;0;-;3
xalan;2.7.0;org.apache.xalan.processor.XSLTSchema;6;2;0;27;47;3;5;25;2;0.7875;2717;0.03125;0;0.8484849;0.44444445;1;1;446.5;0;0;-;1;0;-;2
xalan;2.7.0;org.apache.xml.dtm.ref.DTMNodeProxy$DTMNodeProxyImplementation;5;1;0;2;9;10;1;1;4;2.0;42;0.0;0;0.0;0.6666667;0;0;7.4;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.lib.SecuritySupport12$8;2;1;0;1;5;0;1;1;1;0.5;20;1.0;1;0.0;0.6666667;0;0;8.0;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.processor.XSLTElementDef;37;1;1;8;57;440;6;4;3;0.79320985;812;0.7222222;3;0.0;0.2891892;0;0;20.45946;1;1;9;1;0;-;1
xalan;2.7.0;org.apache.xalan.extensions.SecuritySupport12$8;2;1;0;1;5;0;1;1;1;0.5;20;1.0;1;0.0;0.6666667;0;0;8.0;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xalan.lib.sql.DefaultConnectionPool;19;1;0;6;50;51;1;5;16;0.7638889;404;1.0;0;0.0;0.21804512;0;0;19.842106;2;2;15;1;0;-;1
xalan;2.7.0;org.apache.xml.serializer.WriterChain;9;1;0;3;9;36;3;0;9;2.0;9;0.0;0;0.0;0.44444445;0;0;0.0;1;1;80;0;0;-;1
xalan;2.7.0;org.apache.xml.serializer.utils.SerializerMessages_ru;2;3;0;0;3;1;0;0;2;2.0;374;0.0;0;0.974359;1.0;0;0;186.0;2;1;118;0;0;-;3
xalan;2.7.0;org.apache.xpath.VariableStack;22;1;1;28;42;0;21;9;21;0.7346939;477;0.2857143;2;0.0;0.36507937;0;0;20.363636;1;1;0;1;1;-;2
xalan;2.7.0;org.apache.xalan.extensions.ExpressionContext;7;1;0;20;7;21;18;3;7;2.0;7;0.0;0;0.0;0.47619048;0;0;0.0;0;0;-;1;0;-;1
xalan;2.7.0;org.apache.xalan.templates.ElemIf;8;3;0;13;28;0;0;13;7;0.71428573;122;0.5;1;0.9655172;0.27083334;2;5;14.0;3;2;1;1;2;-;1
xalan;2.7.0;org.apache.xml.dtm.ref.DTMDefaultBaseTraversers$NamespaceTraverser;4;2;0;3;8;0;1;3;2;0.0;67;1.0;1;0.6666667;0.5625;1;1;15.5;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xpath.functions.FuncFloor;2;4;0;5;7;1;0;5;2;2.0;16;0.0;0;0.97959185;0.75;1;6;6.5;1;1;1;1;0;-;1
xalan;2.7.0;org.apache.xalan.xsltc.runtime.BasisLibrary$1;3;1;0;1;4;1;1;0;2;0.5;19;1.0;0;0.0;0.5555556;0;0;5.0;-;0;-;-;0;-;0
xalan;2.7.0;org.apache.xml.serializer.SerializerConstants;0;1;0;1;0;0;1;0;0;2.0;15;0.0;0;0.0;0.0;0;0;0.0;4;3;7;1;2;-;2
