Project,Version,Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTObjectArray;4;2;0;8;12;6;4;6;4;2.0;42;0.0;0;0.9310345;0.41666666;1;1;9.5;-;-;-;1;1;-;1
velocity;1.4;org.apache.velocity.runtime.directive.Directive;8;1;5;20;9;16;14;7;8;0.7619048;40;1.0;1;0.0;0.3125;0;0;3.625;-;-;-;1;1;-;2
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTWord;3;2;0;5;6;3;4;3;3;2.0;17;0.0;0;0.96428573;0.53333336;0;0;4.6666665;-;-;-;1;0;-;1
velocity;1.4;org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader;5;2;0;6;13;10;0;6;5;2.0;51;0.0;0;0.71428573;0.45;0;0;9.2;-;-;-;1;0;-;1
velocity;1.4;org.apache.velocity.app.FieldMethodizer;7;1;0;2;20;1;2;0;6;0.0;137;1.0;0;0.0;0.4642857;0;0;18.285715;-;-;-;1;1;-;1
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTReference;14;2;0;21;61;29;7;16;13;0.7897436;782;1.0;1;0.6923077;0.25396827;1;2;53.785713;-;-;-;1;8;-;4
velocity;1.4;org.apache.velocity.runtime.resource.ResourceManager;3;1;0;6;3;3;2;4;3;1.5;5;0.0;0;0.0;0.5833333;0;0;0.0;-;-;-;1;0;-;1
velocity;1.4;org.apache.velocity.runtime.resource.Resource;17;1;2;24;20;96;21;4;17;0.9027778;120;1.0;2;0.0;0.23529412;0;0;5.529412;-;-;-;1;2;-;1
velocity;1.4;org.apache.velocity.test.IntrospectorTestCase;5;4;0;6;32;4;0;6;3;0.85;642;0.8;0;0.94736844;0.5;3;3;126.4;-;-;-;0;0;-;0
velocity;1.4;org.apache.velocity.context.InternalContextBase;11;1;1;7;21;17;2;5;10;0.75;92;1.0;2;0.0;0.25757575;0;0;7.0;-;-;-;1;2;-;2
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTNumberLiteral;5;2;0;7;11;0;4;5;5;0.25;44;1.0;0;0.9;0.43333334;0;0;7.6;-;-;-;0;0;-;0
velocity;1.4;org.apache.velocity.test.TexenClasspathTestCase;4;4;0;3;8;6;0;3;3;1.3333334;62;1.0;0;0.94736844;0.75;2;4;14.0;-;-;-;0;0;-;0
